trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.7, 'e': 8.734387282732117e-05}",25,0,37.722843248837115,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.7, 'e': 8.573388203017832e-05}",25,5,7.756604208599066,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.7, 'e': 8.416799932665601e-05}",25,0,11.567404760221642,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
110,False,"{'a': 0.7, 'e': 8.264462809917356e-05}",20,11,15.751829029910825,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 8.116224332440549e-05}",20,0,27.502651192175097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.7, 'e': 7.971938775510203e-05}",25,12,17.934321260974574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 7.831466833737959e-05}",20,10,17.88270226902039,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 7.694675284702985e-05}",20,6,26.13535852640264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 7.561436672967863e-05}",30,13,30.767390401171266,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 7.431629013079666e-05}",20,14,11.145808638126088,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 7.305135510263716e-05}",20,8,21.799847387228365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 7.181844297615628e-05}",20,14,9.569489663707209,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 7.06164818868724e-05}",30,2,34.13643235376368,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 6.944444444444444e-05}",30,22,14.340943895474838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 6.830134553650706e-05}",20,6,30.45077896180217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 6.718624025799516e-05}",20,0,29.277316199738493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.7, 'e': 6.609822195782933e-05}",20,7,23.735903827148174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 6.503642039542144e-05}",20,10,16.591036792428916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 6.4e-05}",20,6,23.134813533668883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 6.298815822625347e-05}",25,11,25.72097979229869,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 6.2000124000248e-05}",30,7,38.70013745368509,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 6.103515625e-05}",30,10,30.963306647004217,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 6.009254251547383e-05}",25,10,25.561163973487016,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 5.9171597633136094e-05}",30,10,34.97808804058562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 5.8271662490530857e-05}",25,17,8.423943938885184,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 5.73921028466483e-05}",20,10,21.848120515354612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 5.6532308214144386e-05}",35,0,49.017175663772285,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 5.569169079973268e-05}",25,7,-13.103000671308925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.7, 'e': 5.486968449931413e-05}",35,16,36.95339964303931,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 5.406574394463668e-05}",20,10,20.78091847811275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 5.3279343598486864e-05}",20,9,19.56727100710721,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 5.250997689561016e-05}",35,19,28.749331166071308,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 5.175715542673774e-05}",30,14,31.135569571906327,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 5.102040816326531e-05}",25,10,25.573186922239877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 5.02992807202857e-05}",20,0,26.92354862317554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.7, 'e': 4.959333465582226e-05}",30,2,37.430235352063576,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 4.8902146804244705e-05}",20,15,8.714520864243575,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 4.8225308641975306e-05}",20,11,18.096775630022574,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 4.756242568370987e-05}",20,15,11.128102438329067,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 4.6913116907487336e-05}",25,18,15.405671312362438,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 4.627701420704336e-05}",25,17,13.480010573519746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 4.565376186997809e-05}",25,7,24.45499225994214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 4.504301608035674e-05}",20,7,27.06752786879817,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 4.4444444444444447e-05}",20,10,19.0170394682275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 4.385772553835358e-05}",20,11,15.214445446314569,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 4.3282548476454294e-05}",20,8,19.603346011350016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 4.2718612499466016e-05}",25,10,13.520569152315286,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 4.2165626581210996e-05}",25,0,36.945255736675996,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.7, 'e': 4.162330905306972e-05}",20,6,23.067735117591322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
